GateV	--
-0.800000011920929	5.53821467852433E-11
-0.699999988079071	3.84425234700725E-11
-0.600000023841858	1.6511949793574E-11
-0.5	6.22377149817055E-12
-0.400000005960464	7.59026522190176E-13
-0.300000011920929	2.30129630629516E-12
-0.200000002980232	7.62726904204869E-13
-0.100000001490116	2.37543383400929E-12
0	2.14137748874056E-13
0.100000001490116	4.31898061151875E-13
0.200000002980232	2.35194828022978E-12
0.300000011920929	6.09700224335485E-13
0.400000005960464	1.41123918107056E-12
0.5	2.46215591317989E-12
0.600000023841858	5.24554141442812E-13
0.699999988079071	1.35914337510284E-12
0.800000011920929	2.48103035511982E-12
0.899999976158142	5.75489580035421E-13
1	1.40133304266099E-12
1.10000002384186	2.42265842803624E-12
1.20000004768372	5.66977671409563E-13
1.29999995231628	1.42421068428239E-12
1.39999997615814	2.54533069968255E-12
1.5	5.9235841058658E-13
1.60000002384186	1.52460845597585E-12
1.70000004768372	2.76777277312401E-12
1.79999995231628	6.93643005447026E-13
1.89999997615814	1.60189743414474E-12
2	3.00419997038837E-12
2.09999990463257	8.37885479314932E-13
2.20000004768372	1.82429722370148E-12
2.29999995231628	3.31680950066415E-12
2.40000009536743	1.14053894367111E-12
2.5	2.14334518015835E-12
2.59999990463257	3.57773533021799E-12
2.70000004768372	1.58111241113645E-12
2.79999995231628	2.73084896709741E-12
2.90000009536743	4.40753510078107E-12
3	2.36805887399161E-12
3.09999990463257	3.68417232485263E-12
3.20000004768372	5.66977974986171E-12
3.29999995231628	3.94255635083329E-12
3.40000009536743	5.46406496437779E-12
3.5	7.73230784956169E-12
3.59999990463257	5.70295893842498E-12
3.70000004768372	7.59101115299643E-12
3.79999995231628	1.03614825053278E-11
3.90000009536743	9.48158739022542E-12
4	1.18312746752447E-11
4.09999990463257	1.50509552737654E-11
4.19999980926514	1.60698520462743E-11
4.30000019073486	1.93900173695027E-11
4.40000009536743	2.32360589103031E-11
4.5	2.40282776314826E-11
4.59999990463257	2.90631355787108E-11
4.69999980926514	4.96493790524966E-10
4.80000019073486	1.57010321411022E-10
4.90000009536743	3.57470331113774E-10
5	6.13608386323961E-10
5.09999990463257	8.19855350275844E-10
5.19999980926514	2.24598406539656E-9
5.30000019073486	2.26276153370009E-8
5.40000009536743	2.77655587410663E-8
5.5	2.67252850960631E-8
5.59999990463257	3.34354801623249E-8
5.69999980926514	3.28004539085214E-8
5.80000019073486	3.38678098898981E-8
5.90000009536743	3.70731818577497E-8
6	3.89223018260054E-8
6.09999990463257	3.95828543275911E-8
6.19999980926514	4.11452489856856E-8
6.30000019073486	3.73012980503518E-8
6.40000009536743	4.12416163442231E-8
6.5	7.13337513502665E-8
6.59999990463257	7.38961318802467E-8
6.69999980926514	7.85878739861801E-8
6.80000019073486	7.98948178726278E-8
6.90000009536743	8.12985021525492E-8
7	7.86243461448066E-8
